conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1767753097932333547,Wed Mar 13 03:22:36 +0000 2024,3997,Sejumlah kementerian merancang program makan siang gratis senilai ratusan triliun rupiah. Ibarat asap mendahului api. #MajalahTempo https://t.co/ij7kaacHIm,1767753097932333547,,,in,Indonesia,55,146,1336,https://x.com/tempodotco/status/1767753097932333547,18129942,tempodotco
1787993787580682245,Tue May 07 23:51:52 +0000 2024,490,Memang program asbun kirain koar-koar program makan siang gratis mulu itu udah dipikirin mekanismenya &amp; disiapkan teknisnya jadi pas kepilih tinggal pelaksanaannya,1787993787580682245,,,in,gag city ,5,10,158,https://x.com/itsquaileggs/status/1787993787580682245,1426887455265812483,itsquaileggs
1764180403194409303,Sun Mar 03 06:45:59 +0000 2024,2879,Program Makan Siang Gratis Yesus Kristus: Gizi Terjamin: Roti + Ikan + Anggur ( Yohanes 2:1-11 ) Full Gratis Tidak pakai APBN Dijamin no Korupsi: Dapat Ceramah Gratis Tidak dicebokin Chef Arnol Minusnya cuma 1: Dibenci Setan dan Rezim Romawi laknat,1764180403194409303,,,in,Di Hatimu,59,51,982,https://x.com/Y_D_Y_P/status/1764180403194409303,1501070844432650245,Y_D_Y_P
1754145113255936414,Sun Feb 04 14:09:20 +0000 2024,712,Programnya langsung direvisi saat itu juga program makan siang gratis untuk anak2 sekolah menjadi makan siang gratis untuk ibu2 hamil https://t.co/LL29947M1B,1754145113255936414,https://pbs.twimg.com/media/GFf5mo6asAAEVtc.jpg,,in,,7,87,182,https://x.com/MurtadhaOne1/status/1754145113255936414,1178950184601935873,MurtadhaOne1
1758381483654598840,Fri Feb 16 06:43:09 +0000 2024,578,Program Makan Siang Gratis Disebut Prank TKN: Dilaksanakan Bertahap 82 9 Juta Anak Itu di 2029 https://t.co/9EoavPAwuV,1758381483654598840,,,in,Indonesia,111,413,246,https://x.com/KompasTV/status/1758381483654598840,71436318,KompasTV
1819520901953843473,Fri Aug 02 23:49:22 +0000 2024,325,Kalo program makan gratis komposisinya jelas kayak ini aku rela promosi selama 365 hari 25rb/porsi - 2 jenis protein - sayur &amp; buah - tanpa susu - menu diatur ahli gizi Kenapa kok tanpa susu?,1819520901953843473,,,in,"Bali, Indonesia",1,2,85,https://x.com/hafizha_anisa/status/1819520901953843473,1178173873163866112,hafizha_anisa
1758671463572472234,Sat Feb 17 01:55:26 +0000 2024,216,Makan gratis bertahap. Tahap pertama buat seputaran istana. Tahap kedua buat seputaran solo (kampung jokowi),1758671463572472234,,,in,,4,19,41,https://x.com/Tan_Mar3M/status/1758671463572472234,1270980383761330176,Tan_Mar3M
1746851054602670085,Mon Jan 15 11:05:20 +0000 2024,279,Prabowo bersama Gibran dan Koalisi Indonesia Maju (KIM) menyusun program yang pro terhadap rakyat. Bernama 'Strategi Tranformasi Bangsa' pemberian makan siang dan susu gratis untuk anak-anak menjadi salah satu program unggulan Strategi Transformasi Bangsa. https://t.co/FbFNnvOySj,1746851054602670085,https://pbs.twimg.com/media/GD4PxY0b0AAk208.jpg,,in,,8,192,39,https://x.com/99propaganda/status/1746851054602670085,1427095335084515333,99propaganda
1850812301106204804,Mon Oct 28 08:10:13 +0000 2024,30,Berikut ini program-program tidak mendidik yang dijanjikan pada momen Pilpres/Pilkada yang (celakanya) disuka pemilih: - BLT/Bansos - Raskin - Sarapan gratis - Makan siang gratis - Subsidi BBM - Tiap Desa dapat uang tunai - Tiap RW dapat uang tunai - Tiap RT dapat uang tunai -,1850812301106204804,,,in,Mojokerto,2,14,8,https://x.com/hasyimmah/status/1850812301106204804,185156524,hasyimmah
1852223796981399739,Sat Nov 02 04:35:01 +0000 2024,331,@bacottetangga__ Emang sengaja dimatikan biar import susu terus.. Dan tau kan siapa pemilih perush yg import susu tersebut? Apalagi kebutuhan susu utk program makan siang gratis sangat besar.. Jadi selamat dirampok penguasa sendiri ,1852570083807420578,,bacottetangga__,in,,3,6,40,https://x.com/Panurotto/status/1852570083807420578,205163140,Panurotto
